  r_x        r_y      r_z       E_MG_1  E_MG_2  E_NP   E_T (eV)
  48.000     0.000    0.000     3.434   3.618   0.000  1.3411870220e-03
  48.000     0.000    0.000     3.474   3.661   0.000  1.3166835740e-03
  48.000     0.000    0.000     3.515   3.703   0.000  1.2909198066e-03
  48.000     0.000    0.000     3.555   3.746   0.000  1.2640174704e-03
  48.000     0.000    0.000     3.595   3.789   0.000  1.2360946462e-03
  48.000     0.000    0.000     3.636   3.831   0.000  1.2072689106e-03
  48.000     0.000    0.000     3.676   3.874   0.000  1.1776570658e-03
  48.000     0.000    0.000     3.717   3.916   0.000  1.1473709537e-03
  48.000     0.000    0.000     3.757   3.959   0.000  1.1165170805e-03
  48.000     0.000    0.000     3.797   4.001   0.000  1.0852002653e-03
  48.000     0.000    0.000     3.838   4.044   0.000  1.0535232526e-03
  48.000     0.000    0.000     3.878   4.087   0.000  1.0215808989e-03
  48.000     0.000    0.000     3.919   4.129   0.000  9.8946784595e-04
  48.000     0.000    0.000     3.959   4.172   0.000  9.5727207697e-04
  48.000     0.000    0.000     3.999   4.214   0.000  9.2507394723e-04
  48.000     0.000    0.000     4.040   4.257   0.000  8.9295620142e-04
  48.000     0.000    0.000     4.080   4.299   0.000  8.6099377668e-04
  48.000     0.000    0.000     4.121   4.342   0.000  8.2925490579e-04
  48.000     0.000    0.000     4.161   4.385   0.000  7.9780707938e-04
  48.000     0.000    0.000     4.201   4.427   0.000  7.6670973581e-04
  48.000     0.000    0.000     4.242   4.470   0.000  7.3601960120e-04
  48.000     0.000    0.000     4.282   4.512   0.000  7.0579061255e-04
  48.000     0.000    0.000     4.323   4.555   0.000  6.7607057724e-04
  48.000     0.000    0.000     4.363   4.597   0.000  6.4690027057e-04
  48.000     0.000    0.000     4.403   4.640   0.000  6.1832376464e-04
  48.000     0.000    0.000     4.444   4.683   0.000  5.9037345738e-04
  48.000     0.000    0.000     4.484   4.725   0.000  5.6308124398e-04
  48.000     0.000    0.000     4.525   4.768   0.000  5.3647482196e-04
  48.000     0.000    0.000     4.565   4.810   0.000  5.1058098255e-04
  48.000     0.000    0.000     4.605   4.853   0.000  4.8541666767e-04
  48.000     0.000    0.000     4.646   4.895   0.000  4.6100147271e-04
