  r_x        r_y      r_z       E_MG_1  E_MG_2  E_NP   E_T (eV)
  48.500     0.000    0.000     3.232   3.406   2.350  1.0311246294e-03
  48.500     0.000    0.000     3.272   3.448   2.350  1.0026399918e-03
  48.500     0.000    0.000     3.313   3.491   2.350  9.7257222580e-04
  48.500     0.000    0.000     3.353   3.533   2.350  9.4117951098e-04
  48.500     0.000    0.000     3.393   3.576   2.350  9.0871622106e-04
  48.500     0.000    0.000     3.434   3.618   2.350  8.7541840233e-04
  48.500     0.000    0.000     3.474   3.661   2.350  8.4151100182e-04
  48.500     0.000    0.000     3.515   3.703   2.350  8.0720069052e-04
  48.500     0.000    0.000     3.555   3.746   2.350  7.8314175404e-04
  48.500     0.000    0.000     3.595   3.789   2.350  7.6774472300e-04
  48.500     0.000    0.000     3.636   3.831   2.350  7.5159557114e-04
  48.500     0.000    0.000     3.676   3.874   2.350  7.3477042672e-04
  48.500     0.000    0.000     3.717   3.916   2.350  7.1734631970e-04
  48.500     0.000    0.000     3.757   3.959   2.350  6.9939943563e-04
  48.500     0.000    0.000     3.797   4.001   2.350  6.8100167033e-04
  48.500     0.000    0.000     3.838   4.044   2.350  6.6222494967e-04
  48.500     0.000    0.000     3.878   4.087   2.350  6.4313642318e-04
  48.500     0.000    0.000     3.919   4.129   2.350  6.2380305538e-04
  48.500     0.000    0.000     3.959   4.172   2.350  6.0428676385e-04
  48.500     0.000    0.000     3.999   4.214   2.350  5.8464900593e-04
  48.500     0.000    0.000     4.040   4.257   2.350  5.6494619198e-04
  48.500     0.000    0.000     4.080   4.299   2.350  5.4523291987e-04
  48.500     0.000    0.000     4.121   4.342   2.350  5.2556195563e-04
  48.500     0.000    0.000     4.161   4.385   2.350  5.0598194133e-04
  48.500     0.000    0.000     4.201   4.427   2.350  4.8653669136e-04
  48.500     0.000    0.000     4.242   4.470   2.350  4.6727198199e-04
  48.500     0.000    0.000     4.282   4.512   2.350  4.4822476439e-04
  48.500     0.000    0.000     4.323   4.555   2.350  4.2943391000e-04
  48.500     0.000    0.000     4.363   4.597   2.350  4.1093355503e-04
  48.500     0.000    0.000     4.403   4.640   2.350  3.9275395546e-04
  48.500     0.000    0.000     4.444   4.683   2.350  3.7492446708e-04
  48.500     0.000    0.000     4.484   4.725   2.350  3.5746927429e-04
  48.500     0.000    0.000     4.525   4.768   2.350  3.4041394117e-04
  48.500     0.000    0.000     4.565   4.810   2.350  3.2377729150e-04
  48.500     0.000    0.000     4.605   4.853   2.350  3.0757747576e-04
  48.500     0.000    0.000     4.646   4.895   2.350  2.9183077203e-04
  48.500     0.000    0.000     4.686   4.938   2.350  2.7654980973e-04
  48.500     0.000    0.000     4.727   4.981   2.350  2.6808849929e-04
  48.500     0.000    0.000     4.767   5.023   2.350  2.6094313902e-04
  48.500     0.000    0.000     4.807   5.066   2.350  2.5389699769e-04
  48.500     0.000    0.000     4.848   5.108   2.350  2.4695488814e-04
  48.500     0.000    0.000     4.888   5.151   2.350  2.4012107534e-04
  48.500     0.000    0.000     4.928   5.193   2.350  2.3339895450e-04
  48.500     0.000    0.000     4.969   5.236   2.350  2.2679249049e-04
  48.500     0.000    0.000     5.009   5.279   2.350  2.2030472200e-04
  48.500     0.000    0.000     5.050   5.321   2.350  2.1393778826e-04
  48.500     0.000    0.000     5.090   5.364   2.350  2.0769497845e-04
  48.500     0.000    0.000     5.130   5.406   2.350  2.0157723106e-04
  48.500     0.000    0.000     5.171   5.449   2.350  1.9558616635e-04
  48.500     0.000    0.000     5.211   5.491   2.350  1.8972399412e-04
  48.500     0.000    0.000     5.252   5.534   2.350  1.8399076667e-04
  48.500     0.000    0.000     5.292   5.577   2.350  1.7838765682e-04
  48.500     0.000    0.000     5.332   5.619   2.350  1.7291509804e-04
